31-03-2026 20:01:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:47 | GET | Cafeteria-API/produtos
31-03-2026 20:01:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:47 | GET | Cafeteria-API/produtos
31-03-2026 20:01:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:47 | GET | Cafeteria-API/produtos
31-03-2026 20:01:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:47 | GET | Cafeteria-API/produtos
31-03-2026 20:01:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:47 | GET | Cafeteria-API/produtos
31-03-2026 20:01:47 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:47 | GET | Cafeteria-API/produtos
31-03-2026 20:01:48 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:48 | GET | Cafeteria-API/produtos
31-03-2026 20:01:48 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:48 | GET | Cafeteria-API/produtos
31-03-2026 20:01:48 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:48 | GET | Cafeteria-API/produtos
31-03-2026 20:01:48 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:48 | GET | Cafeteria-API/produtos
31-03-2026 20:01:48 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:48 | GET | Cafeteria-API/produtos
31-03-2026 20:01:48 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:48 | GET | Cafeteria-API/produtos
31-03-2026 20:01:49 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:49 | GET | Cafeteria-API/produtos
31-03-2026 20:01:49 | OPTIONS | cafeteria-api/categorias/4
31-03-2026 20:01:49 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:49 | GET | Cafeteria-API/produtos
31-03-2026 20:01:49 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:49 | GET | Cafeteria-API/produtos
31-03-2026 20:01:49 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:49 | GET | Cafeteria-API/produtos
31-03-2026 20:01:50 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:50 | GET | Cafeteria-API/produtos
31-03-2026 20:01:50 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:50 | GET | Cafeteria-API/produtos
31-03-2026 20:01:50 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:50 | GET | Cafeteria-API/produtos
31-03-2026 20:01:50 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:50 | GET | Cafeteria-API/produtos
31-03-2026 20:01:50 | DELETE | cafeteria-api/categorias/4
31-03-2026 20:01:50 | GET | Cafeteria-API/produtos
31-03-2026 20:02:11 | GET | Cafeteria-API/produtos
31-03-2026 20:02:13 | GET | Cafeteria-API/produtos
31-03-2026 20:02:14 | GET | Cafeteria-API/produtos
31-03-2026 20:02:14 | GET | Cafeteria-API/produtos
31-03-2026 20:02:15 | GET | Cafeteria-API/produtos
31-03-2026 20:02:18 | OPTIONS | Cafeteria-API/categorias/5
31-03-2026 20:02:18 | DELETE | Cafeteria-API/categorias/5
31-03-2026 20:02:18 | GET | Cafeteria-API/produtos
31-03-2026 20:08:42 | OPTIONS | Cafeteria-API/categorias/5
31-03-2026 20:08:42 | DELETE | Cafeteria-API/categorias/5
31-03-2026 20:08:42 | GET | Cafeteria-API/produtos
31-03-2026 20:08:43 | DELETE | Cafeteria-API/categorias/5
31-03-2026 20:08:43 | GET | Cafeteria-API/produtos
31-03-2026 20:10:00 | GET | Cafeteria-API/produtos
31-03-2026 20:10:02 | GET | Cafeteria-API/produtos
31-03-2026 20:10:08 | GET | Cafeteria-API/produtos
31-03-2026 20:10:12 | OPTIONS | Cafeteria-API/produtos/5
31-03-2026 20:10:12 | DELETE | Cafeteria-API/produtos/5
31-03-2026 20:10:12 | GET | Cafeteria-API/produtos
31-03-2026 20:10:14 | OPTIONS | Cafeteria-API/produtos/2
31-03-2026 20:10:14 | DELETE | Cafeteria-API/produtos/2
31-03-2026 20:10:14 | GET | Cafeteria-API/produtos
31-03-2026 20:10:17 | GET | Cafeteria-API/produtos
31-03-2026 20:16:37 | GET | Cafeteria-API/produtos
31-03-2026 20:16:37 | GET | Cafeteria-API/produtos
31-03-2026 20:16:42 | GET | Cafeteria-API/produtos
31-03-2026 20:16:43 | GET | Cafeteria-API/produtos
31-03-2026 20:16:44 | GET | Cafeteria-API/produtos
31-03-2026 20:16:45 | GET | Cafeteria-API/produtos
31-03-2026 20:16:48 | GET | Cafeteria-API/produtos
31-03-2026 20:16:49 | GET | Cafeteria-API/produtos
31-03-2026 20:17:00 | GET | Cafeteria-API/produtos
31-03-2026 20:17:01 | GET | Cafeteria-API/produtos
31-03-2026 20:17:09 | GET | Cafeteria-API/produtos
31-03-2026 20:17:11 | GET | Cafeteria-API/produtos
31-03-2026 20:17:16 | GET | Cafeteria-API/produtos
31-03-2026 20:17:21 | GET | Cafeteria-API/produtos
31-03-2026 20:17:22 | GET | Cafeteria-API/produtos
31-03-2026 20:17:40 | GET | Cafeteria-API/produtos
31-03-2026 20:17:49 | GET | Cafeteria-API/produtos
31-03-2026 20:18:06 | GET | Cafeteria-API/produtos
31-03-2026 20:18:08 | GET | Cafeteria-API/produtos
31-03-2026 20:18:13 | GET | Cafeteria-API/produtos
31-03-2026 20:18:16 | GET | Cafeteria-API/produtos
31-03-2026 20:18:20 | GET | Cafeteria-API/produtos
31-03-2026 20:18:21 | GET | Cafeteria-API/produtos
31-03-2026 20:18:23 | GET | Cafeteria-API/produtos
31-03-2026 20:18:29 | GET | Cafeteria-API/produtos
31-03-2026 20:18:35 | GET | Cafeteria-API/produtos
31-03-2026 20:18:38 | GET | Cafeteria-API/produtos
31-03-2026 20:18:46 | GET | Cafeteria-API/produtos
31-03-2026 20:19:04 | GET | Cafeteria-API/produtos
31-03-2026 20:19:22 | GET | Cafeteria-API/produtos
31-03-2026 20:19:24 | GET | Cafeteria-API/produtos
31-03-2026 20:19:29 | GET | Cafeteria-API/produtos
31-03-2026 20:19:31 | GET | Cafeteria-API/produtos
31-03-2026 20:19:40 | GET | Cafeteria-API/produtos
31-03-2026 20:19:41 | GET | Cafeteria-API/produtos
31-03-2026 20:19:49 | GET | Cafeteria-API/produtos
31-03-2026 20:19:49 | GET | Cafeteria-API/produtos
31-03-2026 20:19:52 | GET | Cafeteria-API/produtos
31-03-2026 20:19:52 | GET | Cafeteria-API/produtos
31-03-2026 20:19:53 | GET | Cafeteria-API/produtos
31-03-2026 20:19:53 | GET | Cafeteria-API/produtos
31-03-2026 20:19:55 | GET | Cafeteria-API/produtos
31-03-2026 20:19:55 | GET | Cafeteria-API/produtos
31-03-2026 20:19:59 | GET | Cafeteria-API/produtos
31-03-2026 20:19:59 | GET | Cafeteria-API/produtos
31-03-2026 20:20:00 | GET | Cafeteria-API/produtos
31-03-2026 20:20:00 | GET | Cafeteria-API/produtos
31-03-2026 20:20:13 | GET | Cafeteria-API/produtos
31-03-2026 20:20:14 | GET | Cafeteria-API/produtos
31-03-2026 20:20:20 | GET | Cafeteria-API/produtos
31-03-2026 20:20:29 | GET | Cafeteria-API/produtos
31-03-2026 20:20:32 | GET | Cafeteria-API/produtos
31-03-2026 20:20:40 | GET | Cafeteria-API/produtos
31-03-2026 20:20:43 | GET | Cafeteria-API/produtos
31-03-2026 20:20:48 | GET | Cafeteria-API/produtos
31-03-2026 20:20:50 | GET | Cafeteria-API/produtos
31-03-2026 20:20:58 | GET | Cafeteria-API/produtos
31-03-2026 20:21:02 | GET | Cafeteria-API/produtos
31-03-2026 20:21:08 | GET | Cafeteria-API/produtos
31-03-2026 20:21:10 | GET | Cafeteria-API/produtos
31-03-2026 20:21:13 | GET | Cafeteria-API/produtos
31-03-2026 20:21:32 | GET | Cafeteria-API/produtos
31-03-2026 20:21:35 | GET | Cafeteria-API/produtos
31-03-2026 20:21:39 | GET | Cafeteria-API/produtos
31-03-2026 20:21:41 | GET | Cafeteria-API/produtos
31-03-2026 20:21:43 | GET | Cafeteria-API/produtos
31-03-2026 20:21:43 | GET | Cafeteria-API/produtos
31-03-2026 20:21:43 | GET | Cafeteria-API/produtos
31-03-2026 20:21:43 | GET | Cafeteria-API/produtos
31-03-2026 20:21:45 | GET | Cafeteria-API/produtos
31-03-2026 20:21:45 | GET | Cafeteria-API/produtos
31-03-2026 20:21:45 | GET | Cafeteria-API/produtos
31-03-2026 20:21:47 | GET | Cafeteria-API/produtos
31-03-2026 20:22:14 | GET | Cafeteria-API/produtos
31-03-2026 20:22:15 | GET | Cafeteria-API/produtos
31-03-2026 20:22:24 | GET | Cafeteria-API/produtos
31-03-2026 20:22:25 | GET | Cafeteria-API/produtos
31-03-2026 20:22:25 | GET | Cafeteria-API/produtos
31-03-2026 20:22:32 | GET | Cafeteria-API/produtos
31-03-2026 20:22:33 | GET | Cafeteria-API/produtos
31-03-2026 20:22:35 | GET | Cafeteria-API/produtos
31-03-2026 20:22:35 | GET | Cafeteria-API/produtos
31-03-2026 20:22:39 | GET | Cafeteria-API/produtos
31-03-2026 20:45:40 | GET | Cafeteria-API/produtos
31-03-2026 20:45:49 | GET | Cafeteria-API/produtos
31-03-2026 20:45:49 | GET | Cafeteria-API/produtos
31-03-2026 20:45:50 | GET | Cafeteria-API/produtos
31-03-2026 20:45:54 | GET | Cafeteria-API/produtos
31-03-2026 20:45:55 | GET | Cafeteria-API/produtos
31-03-2026 20:45:56 | GET | Cafeteria-API/produtos
31-03-2026 20:45:56 | GET | Cafeteria-API/produtos
31-03-2026 20:46:32 | GET | Cafeteria-API/produtos
31-03-2026 20:46:34 | GET | Cafeteria-API/produtos
31-03-2026 20:46:47 | GET | Cafeteria-API/produtos
31-03-2026 20:46:51 | GET | Cafeteria-API/produtos
31-03-2026 20:46:52 | GET | Cafeteria-API/produtos
31-03-2026 20:46:53 | GET | Cafeteria-API/produtos
31-03-2026 20:46:54 | GET | Cafeteria-API/produtos
31-03-2026 20:47:10 | GET | Cafeteria-API/produtos
31-03-2026 20:47:10 | GET | Cafeteria-API/categorias
31-03-2026 20:47:20 | GET | Cafeteria-API/produtos
31-03-2026 20:47:20 | GET | Cafeteria-API/categorias
31-03-2026 20:48:07 | POST | Cafeteria-API/produtos
31-03-2026 20:48:07 | GET | Cafeteria-API/produtos
31-03-2026 20:48:38 | GET | Cafeteria-API/produtos
s
31-03-2026 20:48:39 | GET | Cafeteria-API/produtos
31-03-2026 20:48:39 | GET | Cafeteria-API/categorias
31-03-2026 20:48:39 | GET | Cafeteria-API/categorias
31-03-2026 20:49:13 | POST | Cafeteria-API/produtos
31-03-2026 20:49:13 | GET | Cafeteria-API/produtos
